dataset_id,accuracy,balanced_accuracy,statistical_parity,equalized_odds,sample_size
acs_iid10,0.7874301975945017,0.7651910681801627,-0.19019115964571634,0.12046514699856437,3
acs_iid5,0.7898515997825343,0.7668585003838798,-0.2021794617176055,0.13336667170127228,3
acs_state3,0.790949667425112,0.7682860980496073,-0.20904495318730668,0.14037606120109555,3
acs_state5,0.7904358810176776,0.7703447855461305,-0.2019723405440648,0.13023797546823815,3
adult_age3,0.8279085636301603,0.7127129939743839,0.13718624661366138,0.05476027013113097,3
adult_age5,0.8390639923591213,0.7339426608177243,0.15684017290671662,0.08932783703009288,3
adult_iid10,0.8459441036128154,0.7595771822242411,0.1921088223656018,0.13415549478183186,3
adult_iid5,0.8436711020129648,0.7582746037176417,0.1637262850999832,0.07452218234539026,3
bank_age3,0.8992002665778074,0.6641340507145524,0.03678093850612633,0.026593227560321436,3
bank_age5,0.9039369204286746,0.6698341659670936,0.036428938309351566,0.03171527478843923,3
bank_iid10,0.8996779924494781,0.6666803732600671,0.02922997499505677,0.013681601112087534,3
bank_iid5,0.9086719964468132,0.675794427248444,0.039978183805942466,0.04439403954893347,3
cac_iid10,0.8076923076923078,0.7724942322481415,0.5006385582188765,0.35751589636007947,3
cac_iid5,0.8746666666666667,0.8432988580047404,0.5349399633705616,0.310138869099319,3
cac_state3,0.8172043010752689,0.7752461322081575,0.5767544048527876,0.4382343227043748,3
cac_state5,0.889784946236559,0.8362371445856018,0.49662062029043835,0.3761005635994176,3
kdd_age3,0.9486876786576085,0.6048966199972942,0.025450075666109667,0.06296926178038116,3
kdd_age5,0.945814307458143,0.5955919578111913,0.023539386844883336,0.042181327046516004,3
kdd_iid10,0.9488047512991833,0.6587130216419709,0.04790569810817633,0.11448118536888306,3
kdd_iid5,0.9516872702973606,0.6817668914521214,0.055896704550832475,0.1425400887771199,3
