dataset_id,accuracy,balanced_accuracy,statistical_parity,equalized_odds,sample_size
acs_iid10,0.5878986791237114,0.644123132563558,0.0049978097279866,0.051000674565633064,3
acs_iid5,0.5904825188436731,0.6511286669884754,0.0031942327817280672,0.04945140083630876,3
acs_state3,0.5925242803159966,0.649897980957867,-0.0009615023930867337,0.052331586678822796,3
acs_state5,0.5846706696145115,0.6491733630939821,0.010282238324483167,0.04687396685282386,3
adult_age3,0.7448652337086319,0.5301017199152523,0.026958665500084536,0.0165728837794934,3
adult_age5,0.7333879110383409,0.5475006403657576,0.0335446919004122,0.029461012532313636,3
adult_iid10,0.6822085889570552,0.5652990385343326,0.0787175397078196,0.08419152201774216,3
adult_iid5,0.7405663596042307,0.5752980195385259,0.05120843338469663,0.061216217620919104,3
bank_age3,0.8528823725424859,0.5809812884951213,0.0203436029454072,0.03124454058706753,3
bank_age5,0.8513521017269143,0.551485617487813,0.0211645744469327,0.016227775883938433,3
bank_iid10,0.8500444148345547,0.6129069833550832,-0.0030894229809443675,0.04404633864760396,3
bank_iid5,0.8664223850766156,0.5536910988065465,0.0067834155634045,0.015902331875016232,3
cac_iid10,0.7871794871794872,0.7779629154917543,0.38585567474365234,0.106630265712738,3
cac_iid5,0.8133333333333334,0.7950333979745744,0.3385598013798396,0.09351848562558489,3
cac_state3,0.8279569892473119,0.8107829348335677,0.5358187158902487,0.3077530326942603,3
cac_state5,0.8521505376344086,0.8116757410768299,0.4646879980961482,0.3804295590768258,3
kdd_age3,0.936644763707911,0.5028632761413818,0.0007840758577609602,0.0028808465188679337,3
kdd_age5,0.9250399079333258,0.5075169356599245,-0.006257357565724869,0.012800014887034165,3
kdd_iid10,0.9353155159613956,0.5024250093155834,-0.0011303136901308667,0.0054341587043987664,3
kdd_iid5,0.9348776775438986,0.5023986722925371,-0.0017455523920943666,0.002265544545177,3
